iter	Passed	Remaining
0	154	76976
1	167	41658
2	179	29721
3	191	23740
4	203	20182
5	216	17797
6	226	15967
7	238	14677
8	250	13652
9	261	12826
10	274	12220
11	288	11716
12	302	11332
13	315	10956
14	327	10593
15	338	10231
16	345	9816
17	356	9549
18	368	9335
19	380	9141
20	393	8978
21	407	8850
22	420	8715
23	426	8467
24	438	8326
25	449	8196
26	463	8114
27	475	8012
28	488	7930
29	501	7855
30	505	7641
31	517	7567
32	531	7519
33	543	7452
34	555	7378
35	568	7331
36	575	7204
37	578	7033
38	590	6981
39	601	6918
40	615	6888
41	618	6742
42	630	6706
43	644	6679
44	656	6637
45	667	6591
46	680	6554
47	692	6523
48	704	6486
49	715	6443
50	726	6395
51	738	6365
52	750	6326
53	761	6293
54	772	6249
55	785	6226
56	795	6181
57	805	6141
58	817	6111
59	828	6078
60	840	6046
61	851	6015
62	861	5978
63	872	5941
64	883	5912
65	894	5879
66	904	5845
67	915	5815
68	925	5779
69	937	5758
70	947	5725
71	958	5698
72	969	5671
73	980	5643
74	990	5613
75	1002	5593
76	1013	5565
77	1023	5535
78	1035	5516
79	1046	5496
80	1058	5477
81	1071	5459
82	1081	5432
83	1091	5406
84	1102	5382
85	1113	5358
86	1122	5328
87	1134	5311
88	1145	5288
89	1155	5264
90	1166	5242
91	1177	5223
92	1189	5204
93	1200	5184
94	1207	5147
95	1218	5129
96	1229	5109
97	1239	5085
98	1249	5062
99	1260	5043
100	1270	5020
101	1283	5007
102	1295	4992
103	1306	4974
104	1317	4955
105	1330	4946
106	1342	4930
107	1353	4913
108	1365	4899
109	1378	4885
110	1390	4872
111	1402	4857
112	1412	4839
113	1424	4823
114	1436	4808
115	1447	4790
116	1458	4775
117	1469	4757
118	1479	4738
119	1491	4722
120	1502	4705
121	1514	4691
122	1525	4677
123	1539	4667
124	1549	4648
125	1560	4631
126	1572	4617
127	1582	4599
128	1593	4583
129	1604	4567
130	1615	4550
131	1625	4532
132	1636	4515
133	1645	4494
134	1656	4477
135	1665	4458
136	1676	4441
137	1687	4427
138	1698	4411
139	1710	4397
140	1722	4385
141	1734	4372
142	1746	4360
143	1758	4346
144	1769	4332
145	1780	4316
146	1791	4300
147	1802	4285
148	1812	4270
149	1823	4255
150	1835	4241
151	1845	4225
152	1856	4209
153	1867	4196
154	1878	4181
155	1888	4164
156	1899	4150
157	1909	4132
158	1919	4116
159	1929	4100
160	1940	4085
161	1952	4073
162	1962	4057
163	1972	4040
164	1983	4026
165	1993	4011
166	2003	3994
167	2015	3982
168	2026	3969
169	2038	3956
170	2049	3943
171	2060	3928
172	2072	3916
173	2083	3903
174	2093	3888
175	2103	3871
176	2112	3854
177	2122	3839
178	2131	3823
179	2142	3809
180	2154	3797
181	2164	3782
182	2175	3768
183	2186	3754
184	2197	3742
185	2208	3728
186	2218	3712
187	2227	3697
188	2237	3681
189	2246	3665
190	2256	3651
191	2266	3636
192	2276	3620
193	2284	3604
194	2293	3588
195	2304	3574
196	2314	3559
197	2323	3543
198	2333	3529
199	2343	3515
200	2355	3503
201	2365	3490
202	2375	3476
203	2386	3463
204	2396	3448
205	2407	3435
206	2416	3420
207	2426	3406
208	2436	3392
209	2446	3378
210	2456	3364
211	2467	3351
212	2477	3338
213	2488	3325
214	2498	3311
215	2508	3298
216	2519	3286
217	2530	3273
218	2540	3260
219	2551	3247
220	2562	3234
221	2571	3220
222	2582	3208
223	2593	3195
224	2604	3182
225	2614	3169
226	2625	3157
227	2636	3144
228	2647	3132
229	2657	3120
230	2669	3108
231	2681	3097
232	2692	3085
233	2703	3073
234	2715	3062
235	2730	3053
236	2743	3044
237	2754	3032
238	2766	3020
239	2778	3010
240	2789	2998
241	2802	2987
242	2814	2976
243	2825	2964
244	2837	2952
245	2849	2942
246	2861	2930
247	2872	2918
248	2883	2906
249	2894	2894
250	2905	2882
251	2916	2870
252	2929	2859
253	2942	2849
254	2953	2838
255	2965	2826
256	2977	2815
257	2989	2804
258	3001	2792
259	3013	2781
260	3025	2770
261	3035	2757
262	3046	2745
263	3058	2733
264	3070	2722
265	3080	2709
266	3091	2697
267	3103	2686
268	3115	2675
269	3126	2663
270	3137	2650
271	3147	2638
272	3159	2626
273	3170	2614
274	3180	2602
275	3191	2590
276	3203	2578
277	3213	2566
278	3224	2554
279	3234	2541
280	3245	2529
281	3257	2518
282	3267	2505
283	3277	2492
284	3287	2479
285	3296	2466
286	3306	2453
287	3317	2441
288	3328	2430
289	3338	2417
290	3348	2405
291	3358	2392
292	3369	2380
293	3379	2367
294	3389	2355
295	3400	2343
296	3411	2331
297	3421	2319
298	3431	2307
299	3441	2294
300	3451	2282
301	3463	2271
302	3473	2258
303	3484	2246
304	3495	2235
305	3505	2222
306	3515	2210
307	3526	2198
308	3536	2185
309	3546	2173
310	3557	2161
311	3568	2150
312	3579	2138
313	3589	2126
314	3601	2114
315	3612	2103
316	3621	2090
317	3632	2078
318	3642	2066
319	3652	2054
320	3663	2042
321	3673	2030
322	3683	2018
323	3693	2006
324	3702	1993
325	3715	1983
326	3726	1971
327	3736	1959
328	3746	1947
329	3755	1934
330	3765	1922
331	3776	1910
332	3785	1898
333	3796	1886
334	3806	1874
335	3816	1862
336	3826	1850
337	3837	1839
338	3846	1826
339	3856	1814
340	3865	1802
341	3875	1790
342	3888	1779
343	3899	1768
344	3910	1756
345	3921	1745
346	3932	1733
347	3942	1721
348	3952	1710
349	3963	1698
350	3972	1686
351	3982	1674
352	3995	1663
353	4004	1651
354	4015	1640
355	4026	1628
356	4036	1617
357	4047	1605
358	4056	1593
359	4067	1581
360	4077	1569
361	4086	1557
362	4097	1546
363	4108	1535
364	4118	1523
365	4130	1512
366	4140	1500
367	4151	1489
368	4162	1477
369	4172	1466
370	4183	1454
371	4195	1443
372	4204	1431
373	4215	1420
374	4226	1408
375	4236	1397
376	4248	1386
377	4261	1375
378	4271	1363
379	4282	1352
380	4293	1340
381	4304	1329
382	4315	1318
383	4326	1307
384	4337	1295
385	4349	1284
386	4361	1273
387	4375	1262
388	4385	1251
389	4397	1240
390	4408	1228
391	4418	1217
392	4430	1206
393	4441	1194
394	4451	1183
395	4462	1171
396	4473	1160
397	4483	1149
398	4493	1137
399	4504	1126
400	4514	1114
401	4528	1103
402	4539	1092
403	4551	1081
404	4561	1070
405	4572	1058
406	4583	1047
407	4593	1035
408	4603	1024
409	4613	1012
410	4624	1001
411	4635	990
412	4645	978
413	4656	967
414	4666	955
415	4675	944
416	4685	932
417	4694	920
418	4706	909
419	4717	898
420	4726	886
421	4737	875
422	4747	864
423	4757	852
424	4767	841
425	4777	829
426	4787	818
427	4797	807
428	4807	795
429	4817	784
430	4826	772
431	4835	761
432	4847	749
433	4857	738
434	4867	727
435	4876	715
436	4887	704
437	4896	693
438	4906	681
439	4920	670
440	4933	660
441	4945	648
442	4954	637
443	4965	626
444	4977	615
445	4986	603
446	4998	592
447	5008	581
448	5018	569
449	5028	558
450	5038	547
451	5048	536
452	5060	525
453	5071	513
454	5081	502
455	5091	491
456	5101	479
457	5111	468
458	5121	457
459	5131	446
460	5141	434
461	5150	423
462	5161	412
463	5173	401
464	5182	390
465	5192	378
466	5201	367
467	5212	356
468	5223	345
469	5233	334
470	5243	322
471	5254	311
472	5264	300
473	5274	289
474	5287	278
475	5297	267
476	5308	255
477	5320	244
478	5330	233
479	5341	222
480	5352	211
481	5362	200
482	5372	189
483	5383	177
484	5393	166
485	5404	155
486	5413	144
487	5423	133
488	5434	122
489	5443	111
490	5453	99
491	5462	88
492	5472	77
493	5483	66
494	5493	55
495	5503	44
496	5514	33
497	5523	22
498	5533	11
499	5544	0
