iter	Passed	Remaining
0	141	140901
1	143	71364
2	144	48165
3	146	36558
4	148	29637
5	151	25047
6	153	21757
7	155	19257
8	157	17321
9	159	15767
10	161	14493
11	163	13434
12	165	12552
13	167	11805
14	169	11133
15	171	10539
16	173	10013
17	175	9557
18	177	9143
19	179	8778
20	181	8452
21	183	8163
22	185	7887
23	187	7632
24	189	7402
25	191	7180
26	193	6983
27	195	6799
28	198	6635
29	200	6485
30	202	6336
31	204	6193
32	206	6061
33	209	5940
34	211	5828
35	213	5718
36	215	5612
37	217	5513
38	219	5415
39	221	5322
40	223	5236
41	226	5160
42	228	5083
43	230	5008
44	232	4936
45	234	4868
46	236	4799
47	238	4737
48	240	4675
49	243	4619
50	245	4562
51	247	4510
52	249	4456
53	251	4405
54	253	4356
55	255	4309
56	257	4268
57	260	4227
58	262	4185
59	264	4145
60	266	4104
61	269	4073
62	271	4039
63	273	4004
64	276	3971
65	278	3936
66	280	3904
67	282	3878
68	284	3845
69	287	3813
70	289	3784
71	291	3754
72	293	3726
73	295	3696
74	297	3668
75	299	3640
76	301	3614
77	303	3592
78	306	3569
79	308	3547
80	310	3524
81	313	3504
82	315	3483
83	317	3460
84	319	3438
85	321	3416
86	323	3396
87	325	3376
88	327	3354
89	329	3332
90	331	3310
91	333	3289
92	335	3272
93	337	3254
94	339	3234
95	341	3215
96	343	3197
97	345	3179
98	347	3162
99	349	3146
100	351	3130
101	353	3115
102	355	3098
103	357	3082
104	359	3066
105	361	3051
106	363	3037
107	366	3024
108	368	3013
109	370	2999
110	372	2985
111	374	2972
112	377	2960
113	379	2946
114	381	2932
115	383	2925
116	386	2914
117	388	2902
118	390	2891
119	392	2879
120	394	2867
121	397	2857
122	399	2846
123	401	2834
124	403	2824
125	405	2813
126	407	2803
127	410	2795
128	412	2785
129	414	2773
130	416	2762
131	418	2753
132	420	2743
133	423	2733
134	425	2725
135	427	2715
136	429	2707
137	431	2698
138	434	2690
139	436	2680
140	438	2670
141	440	2661
142	442	2654
143	445	2645
144	447	2636
145	449	2627
146	451	2619
147	453	2610
