iter	Passed	Remaining
0	146	73060
1	149	37180
2	151	25142
3	154	19104
4	156	15499
5	158	13073
6	160	11331
7	163	10044
8	165	9047
9	168	8234
10	170	7558
11	172	6999
12	174	6518
13	175	6107
14	177	5754
15	180	5459
16	182	5181
17	184	4936
18	186	4715
19	188	4522
20	190	4341
21	192	4177
22	194	4037
23	196	3906
24	198	3778
25	200	3659
26	202	3553
27	204	3452
28	206	3355
29	208	3265
30	210	3185
31	212	3113
32	214	3038
33	216	2971
34	218	2906
35	220	2845
36	222	2785
37	224	2729
38	226	2678
39	228	2631
40	230	2584
41	233	2540
42	234	2495
43	236	2454
44	238	2411
45	240	2375
46	242	2340
47	244	2305
48	246	2272
49	248	2240
50	250	2208
51	252	2177
52	254	2148
53	256	2121
54	259	2098
55	261	2073
56	263	2047
57	265	2022
58	267	1997
59	269	1973
60	271	1950
61	273	1931
62	275	1912
63	277	1891
64	279	1872
65	282	1855
66	284	1837
67	286	1818
68	288	1801
69	290	1785
70	292	1767
71	294	1751
72	296	1734
73	298	1718
74	300	1702
75	302	1686
76	304	1673
77	306	1658
78	308	1644
79	310	1630
80	312	1615
81	314	1602
82	316	1588
83	318	1576
84	320	1563
85	322	1551
86	324	1539
87	326	1527
88	328	1516
89	330	1504
90	332	1493
91	334	1483
92	337	1475
93	339	1464
94	340	1453
95	342	1442
96	344	1432
97	346	1421
98	348	1411
99	350	1403
100	352	1394
101	354	1384
102	356	1375
103	358	1366
104	360	1357
105	362	1349
106	365	1341
107	367	1332
108	369	1323
109	370	1315
110	372	1306
111	374	1298
112	376	1290
113	378	1282
114	380	1275
115	382	1267
116	384	1260
117	386	1252
118	388	1244
119	390	1236
120	392	1229
121	394	1223
122	397	1218
123	400	1213
124	402	1206
125	404	1201
126	407	1196
127	409	1190
128	412	1185
129	414	1180
130	417	1175
131	419	1170
132	422	1165
133	424	1159
134	427	1154
135	429	1149
136	431	1143
137	433	1138
138	436	1132
139	438	1126
140	440	1120
141	442	1116
142	445	1110
143	447	1105
144	448	1099
145	451	1093
146	453	1087
147	454	1081
148	456	1076
149	459	1071
150	461	1066
151	463	1061
152	465	1056
153	467	1051
154	469	1045
155	471	1039
156	473	1035
157	475	1030
158	477	1024
159	479	1019
160	481	1014
161	483	1009
162	485	1004
163	487	999
164	490	994
165	492	990
166	494	985
167	496	980
168	498	976
169	500	972
170	503	968
171	505	964
172	508	960
173	510	956
174	512	951
175	514	946
176	516	942
177	518	937
178	520	933
179	522	929
180	524	925
181	527	921
182	530	918
183	532	915
184	535	911
185	538	908
186	540	905
187	543	901
188	545	897
189	547	893
190	550	890
191	552	887
192	555	883
193	557	879
194	560	876
195	562	872
196	565	869
197	568	866
198	571	864
199	573	860
200	575	856
201	578	853
202	580	849
203	583	847
204	586	843
205	588	840
206	590	836
207	592	832
208	595	828
209	597	824
210	599	821
211	602	818
212	604	814
213	606	810
214	609	807
215	611	803
216	613	799
217	615	796
218	617	792
219	619	788
220	621	784
221	623	781
222	625	777
223	628	774
224	631	771
225	633	767
226	635	764
227	637	760
228	639	756
229	641	752
230	643	749
231	645	746
232	648	742
233	650	739
234	652	735
235	654	731
236	656	728
237	658	724
238	660	721
239	663	718
240	665	715
241	667	711
242	669	708
243	672	705
244	675	702
245	677	699
246	679	696
247	682	693
248	684	689
249	686	686
250	688	683
251	690	679
252	693	676
253	695	673
254	697	669
255	699	666
256	701	663
257	703	660
258	706	657
259	708	653
260	710	650
261	712	647
262	714	643
263	716	640
264	718	637
265	720	633
266	722	630
267	724	627
268	726	624
269	728	620
270	731	617
271	733	614
272	735	611
273	737	608
274	740	605
275	742	602
276	744	599
277	746	595
278	748	592
279	750	589
280	752	586
281	755	584
282	757	580
283	759	577
284	762	575
285	764	572
286	766	568
287	769	566
288	771	563
289	774	561
290	777	558
291	779	555
292	781	552
293	784	549
294	786	546
295	788	543
296	791	540
297	793	537
298	795	535
299	798	532
300	800	529
301	802	526
302	804	523
303	807	520
304	810	517
305	812	515
306	815	512
307	817	509
308	820	506
309	822	504
310	824	501
311	826	497
312	828	494
313	830	492
314	832	489
315	835	486
316	837	483
317	839	480
318	842	477
319	843	474
320	846	471
321	848	468
322	850	466
323	852	463
324	854	460
325	856	457
326	858	454
327	860	451
328	863	448
329	866	446
330	867	443
331	869	440
332	871	437
333	873	434
334	875	431
335	878	428
336	880	425
337	882	422
338	884	419
339	885	416
340	887	413
341	889	410
342	891	408
343	893	405
344	896	402
345	897	399
346	899	396
347	901	393
348	903	390
349	905	387
350	907	385
351	909	382
352	911	379
353	913	376
354	915	373
355	917	371
356	919	368
357	921	365
358	923	362
359	925	360
360	927	357
361	929	354
362	931	351
363	933	348
364	935	345
365	937	343
366	939	340
367	941	337
368	943	334
369	945	332
370	947	329
371	948	326
372	950	323
373	953	321
374	955	318
375	957	315
376	959	313
377	961	310
378	964	307
379	966	305
380	968	302
381	970	299
382	973	297
383	974	294
384	976	291
385	978	289
386	981	286
387	982	283
388	984	281
389	986	278
390	989	275
391	991	273
392	993	270
393	995	267
394	997	265
395	999	262
396	1001	259
397	1012	259
398	1014	256
399	1016	254
400	1018	251
401	1020	248
402	1022	246
403	1024	243
404	1026	240
405	1028	238
406	1030	235
407	1033	232
408	1035	230
409	1037	227
410	1039	225
411	1041	222
412	1043	219
413	1044	217
414	1046	214
415	1048	211
416	1050	209
417	1052	206
418	1054	203
419	1056	201
420	1058	198
421	1060	196
422	1062	193
423	1064	190
424	1066	188
425	1069	185
426	1071	183
427	1073	180
428	1075	177
429	1076	175
430	1079	172
431	1081	170
432	1082	167
433	1084	164
434	1086	162
435	1088	159
436	1090	157
437	1092	154
438	1094	152
439	1096	149
440	1098	146
441	1100	144
442	1102	141
443	1104	139
444	1106	136
445	1107	134
446	1109	131
447	1111	129
448	1113	126
449	1115	123
450	1117	121
451	1119	118
452	1121	116
453	1124	113
454	1126	111
455	1128	108
456	1130	106
457	1132	103
458	1134	101
459	1136	98
460	1138	96
461	1141	93
462	1143	91
463	1146	88
464	1148	86
465	1149	83
466	1151	81
467	1153	78
468	1155	76
